symbol,yahoo_ticker,company_name,gics_sector,sector
STE,STE,Steris,Health Care,استهلاكي
SYK,SYK,Stryker Corporation,Health Care,استهلاكي
SMCI,SMCI,Supermicro,Information Technology,تكنولوجيا
SYF,SYF,Synchrony Financial,Financials,مالي غير مصرفي
SNPS,SNPS,Synopsys,Information Technology,تكنولوجيا
SYY,SYY,Sysco,Consumer Staples,استهلاكي
TMUS,TMUS,T-Mobile US,Communication Services,تكنولوجيا
TROW,TROW,T. Rowe Price,Financials,بنوك
TTWO,TTWO,Take-Two Interactive,Communication Services,تكنولوجيا
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,استهلاكي
TRGP,TRGP,Targa Resources,Energy,تصنيع
TGT,TGT,Target Corporation,Consumer Staples,استهلاكي
TEL,TEL,TE Connectivity,Information Technology,تكنولوجيا
TDY,TDY,Teledyne Technologies,Information Technology,تكنولوجيا
TER,TER,Teradyne,Information Technology,تكنولوجيا
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,استهلاكي
TXN,TXN,Texas Instruments,Information Technology,تكنولوجيا
TPL,TPL,Texas Pacific Land Corporation,Energy,تصنيع
TXT,TXT,Textron,Industrials,تصنيع
TMO,TMO,Thermo Fisher Scientific,Health Care,استهلاكي
TJX,TJX,TJX Companies,Consumer Discretionary,استهلاكي
TKO,TKO,TKO Group Holdings,Communication Services,تكنولوجيا
TTD,TTD,Trade Desk (The),Communication Services,تكنولوجيا
TSCO,TSCO,Tractor Supply,Consumer Discretionary,استهلاكي
TT,TT,Trane Technologies,Industrials,تصنيع
TDG,TDG,TransDigm Group,Industrials,تصنيع
TRV,TRV,Travelers Companies (The),Financials,مالي غير مصرفي
TRMB,TRMB,Trimble Inc.,Information Technology,تكنولوجيا
TFC,TFC,Truist Financial,Financials,بنوك
TYL,TYL,Tyler Technologies,Information Technology,تكنولوجيا
TSN,TSN,Tyson Foods,Consumer Staples,استهلاكي
USB,USB,U.S. Bancorp,Financials,بنوك
UBER,UBER,Uber,Industrials,تصنيع
UDR,UDR,"UDR, Inc.",Real Estate,عقاري
ULTA,ULTA,Ulta Beauty,Consumer Discretionary,استهلاكي
UNP,UNP,Union Pacific Corporation,Industrials,تصنيع
UAL,UAL,United Airlines Holdings,Industrials,تصنيع
UPS,UPS,United Parcel Service,Industrials,تصنيع
URI,URI,United Rentals,Industrials,تصنيع
UNH,UNH,UnitedHealth Group,Health Care,استهلاكي
UHS,UHS,Universal Health Services,Health Care,استهلاكي
VLO,VLO,Valero Energy,Energy,تصنيع
VEEV,VEEV,Veeva Systems,Health Care,استهلاكي
VTR,VTR,Ventas,Real Estate,عقاري
VLTO,VLTO,Veralto,Industrials,تصنيع
VRSN,VRSN,Verisign,Information Technology,تكنولوجيا
VRSK,VRSK,Verisk Analytics,Industrials,تصنيع
VZ,VZ,Verizon,Communication Services,تكنولوجيا
VRTX,VRTX,Vertex Pharmaceuticals,Health Care,استهلاكي
VRT,VRT,Vertiv,Industrials,تصنيع
VTRS,VTRS,Viatris,Health Care,استهلاكي
VICI,VICI,Vici Properties,Real Estate,عقاري
V,V,Visa Inc.,Financials,مالي غير مصرفي
VST,VST,Vistra Corp.,Utilities,تصنيع
VMC,VMC,Vulcan Materials Company,Materials,تصنيع
WRB,WRB,W. R. Berkley Corporation,Financials,مالي غير مصرفي
GWW,GWW,W. W. Grainger,Industrials,تصنيع
WAB,WAB,Wabtec,Industrials,تصنيع
WMT,WMT,Walmart,Consumer Staples,استهلاكي
DIS,DIS,Walt Disney Company (The),Communication Services,تكنولوجيا
WBD,WBD,Warner Bros. Discovery,Communication Services,تكنولوجيا
WM,WM,Waste Management,Industrials,تصنيع
WAT,WAT,Waters Corporation,Health Care,استهلاكي
WEC,WEC,WEC Energy Group,Utilities,تصنيع
WFC,WFC,Wells Fargo,Financials,بنوك
WELL,WELL,Welltower,Real Estate,عقاري
WST,WST,West Pharmaceutical Services,Health Care,استهلاكي
WDC,WDC,Western Digital,Information Technology,تكنولوجيا
WY,WY,Weyerhaeuser,Real Estate,عقاري
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,استهلاكي
WMB,WMB,Williams Companies,Energy,تصنيع
WTW,WTW,Willis Towers Watson,Financials,مالي غير مصرفي
WDAY,WDAY,"Workday, Inc.",Information Technology,تكنولوجيا
WYNN,WYNN,Wynn Resorts,Consumer Discretionary,استهلاكي
XEL,XEL,Xcel Energy,Utilities,تصنيع
XYL,XYL,Xylem Inc.,Industrials,تصنيع
YUM,YUM,Yum! Brands,Consumer Discretionary,استهلاكي
ZBRA,ZBRA,Zebra Technologies,Information Technology,تكنولوجيا
ZBH,ZBH,Zimmer Biomet,Health Care,استهلاكي
ZTS,ZTS,Zoetis,Health Care,استهلاكي
